5, 615164, 591543, 564902, 592778, 635128, 687576, 580563, 607193, 612546, 12150513, 613665, 6129265, 599124, 1730365, 551351, 546112, 532618, 3430976, 557838
10, 2924951, 2189254, 1859737, 1854053, 3032753, 1881240, 1893395, 2248900, 1855457, 1668084, 4642819, 1595242, 6589620, 1441738, 1517563, 2161545, 8525823, 1446349, 4961920
15, 1784077, 2309897, 22265173, 2191385, 1869425, 1816649, 7053465, 1847248, 11174574, 4115723, 1390472, 1473644, 1548182, 1847766, 1369956, 2079599, 1359957, 1939467, 21113210
20, 895553, 2536458, 1624937, 966037, 989197, 1375043, 933824, 1325301, 1152243, 1085846, 1431818, 1254545, 1199552, 938875, 14780436, 2503761, 926224, 11081990, 916381
25, 1106973, 13828079, 1472090, 1439495, 1824728, 1314789, 1048779, 1057631, 30534840, 1407513, 2162140, 1860074, 1560946, 1633208, 1276366, 3732338, 2054867, 1533892, 1188614
30, 1278341, 5201156, 27735637, 1469155, 4229767, 1882779, 1270775, 1684061, 8323689, 1297038, 2146241, 1291724, 27614995, 1923964, 4119246, 1007186, 2085961, 1269416, 1494638
35, 8352501, 1923395, 1526858, 1334527, 1588099, 1131692, 1406819, 1867598, 1383558, 1206363, 1874358, 1502109, 1656553, 1608986, 1276229, 1314595, 1556641, 1110869, 1940403
40, 2090367, 1201764, 2479864, 2205983, 2344578, 3909762, 2018445, 2081505, 4220891, 7229375, 1737111, 1583863, 11993460, 43945497, 2152338, 2432591, 4596960, 1215601, 2025647
45, 1886972, 3921140, 1593533, 4144491, 1852538, 2503749, 7235219, 2405652, 1920140, 2408668, 1634946, 16115898, 1501925, 1823344, 2352128, 1548202, 16190698, 1393789, 3286361
50, 3339988, 6249158, 2032879, 9609712, 14452374, 1481082, 1783059, 3695489, 18061524, 3434927, 1825684, 1488000, 1837814, 1823739, 24741707, 2437919, 1570439, 1938571, 1616166
55, 1802790, 1853059, 2263677, 1890851, 1770198, 1662942, 1751489, 2134779, 4389800, 2273526, 1997267, 3067503, 2282487, 1927781, 2128761, 3975907, 2624917, 2733454, 1981338
60, 7283235, 3998421, 4440094, 4880394, 3849100, 3622273, 3838101, 4334903, 5089281, 3802515, 3146844, 3993581, 2440795, 2721808, 1738052, 1964704, 1897281, 1973629, 1403292
65, 1681345, 2560132, 3222636, 11610719, 4147641, 2683120, 4711118, 2610841, 3169618, 3568627, 6554308, 2611954, 2328127, 2299583, 3685303, 4554201, 2538578, 2086513, 2443481
70, 2888541, 1575309, 8636481, 2600558, 2043542, 2935043, 5578470, 1962341, 2258938, 2480954, 6413053, 2065657, 1936436, 3063745, 5253122, 2395487, 1578217, 2581423, 1735233
75, 5644135, 3444630, 8407054, 5131442, 2681808, 1738968, 4337999, 2202006, 4140209, 1932908, 2707512, 5259549, 2416950, 2131560, 7728699, 2106863, 3775404, 3821089, 4403333
80, 2467602, 3223825, 4474226, 2825594, 3251818, 1920553, 3554391, 3475239, 2937543, 3886129, 3397622, 3608331, 2927026, 3119932, 9589125, 3974376, 3553312, 14801468, 3235465
85, 2207342, 3212969, 2353872, 3244975, 3117252, 3789608, 2216602, 2881381, 2222562, 3617703, 2453277, 3169221, 1655038, 2706969, 2293880, 2289457, 3859332, 2508056, 2035283
90, 3509228, 2045542, 3007871, 1705731, 3110548, 2785426, 1923727, 2634816, 2054671, 2571042, 2566304, 2110768, 2108588, 3678022, 3177999, 2724983, 3469946, 1942593, 3408750
95, 1753501, 2394210, 2005844, 2549648, 3797871, 3635496, 2172889, 2910654, 1430815, 2220851, 2922389, 2183563, 2331845, 3430222, 2593305, 2804425, 2040820, 1513856, 3248133
100, 2711519, 2484008, 3211816, 1817601, 2549587, 1298477, 1826155, 2577087, 2663049, 10791102, 4246034, 2289481, 3024638, 3535894, 2292064, 2846509, 2924821, 2206102, 2310490
105, 2162077, 1327117, 2138721, 1791989, 2597885, 2711888, 2643369, 2699741, 2937793, 4975618, 2985301, 3227944, 2409755, 1729644, 3676778, 2950235, 2332403, 1600904, 3570065
110, 3035924, 2843957, 2914436, 2648462, 3338147, 3057031, 9674031, 4709044, 2975322, 4494793, 2837628, 2777519, 3601139, 2446751, 2784669, 3450903, 2268012, 3053923, 2641074
115, 3400395, 3844358, 3298153, 3304920, 2406045, 3275963, 3357628, 3398677, 3327538, 3458785, 2569590, 3217850, 3088110, 2138191, 2610961, 2414296, 3084224, 2875596, 2895603
120, 3607690, 2679406, 3390778, 3368695, 5090383, 3369730, 2287008, 3162037, 2893212, 3508932, 3062599, 2274165, 3322275, 3808895, 3442786, 3654589, 3763620, 3601420, 3141259
125, 3353260, 3574765, 3354712, 2935134, 3622879, 2592686, 3147010, 4485049, 2753331, 3328998, 3664500, 4992641, 4219247, 3135577, 2356868, 4387114, 3365075, 2862975, 3179561
130, 4241479, 2714652, 3447826, 3284154, 3093057, 4273991, 4035954, 3244014, 4245343, 4154826, 3855042, 3545614, 2793583, 2323816, 2911796, 2791787, 3764695, 4283293, 2814905
135, 3366961, 3852981, 3748332, 4079117, 4241553, 3888514, 4602150, 2360596, 4353414, 3059151, 3167349, 4140820, 3783975, 4320754, 3331953, 2984459, 4396044, 3366387, 4012228
140, 4419747, 5032767, 5053000, 2591715, 3926226, 2842930, 4775268, 3741489, 5287505, 3384506, 2351116, 4799379, 2568176, 3208694, 9718105, 6441651, 3521492, 3233956, 7294471
145, 3442300, 4027905, 5237135, 3900252, 3547476, 4293895, 4459739, 4603524, 3671962, 3627020, 4704396, 3904552, 4066703, 3954059, 4480704, 2745889, 3093198, 4293162, 4747352
150, 3946513, 3665541, 4256855, 3875468, 5326014, 3173946, 3072657, 2703944, 3832955, 3664007, 4094285, 4342922, 5359977, 4222701, 3677900, 4536860, 4379172, 4188458, 3353100
155, 4679073, 5161632, 4703001, 6789185, 6505971, 8453919, 5707489, 6430078, 9930234, 9374747, 8313468, 8183676, 7499073, 7656872, 7873429, 7253372, 5308048, 3271482, 2743080
160, 3202890, 3481462, 4361651, 3587023, 4113865, 3547618, 3973514, 3197140, 3203790, 4196059, 3940518, 5207830, 3696935, 3199719, 5193162, 2225882, 2675979, 2684726, 2453574
165, 4137015, 3246399, 4841903, 3950666, 3251438, 2583862, 4504462, 3656795, 3322386, 4813666, 2953957, 3358364, 5347104, 2906758, 3234420, 3593224, 4991096, 4139948, 2658350
170, 6433665, 3826994, 5426959, 3604623, 3740523, 3403184, 3203921, 4255241, 2163209, 2212793, 3935970, 3436973, 4164726, 4499272, 3162671, 3025356, 2916192, 2478676, 4065898
175, 2996713, 3391210, 2800830, 3037849, 2334701, 2855534, 3878597, 2549476, 3816765, 2833486, 2856095, 2852648, 2158998, 3117236, 2431676, 3005706, 3152487, 2176432, 3053340
180, 3060524, 3417257, 3088569, 2810220, 2673635, 2683789, 3012123, 3064333, 2645895, 2026911, 2912064, 2930615, 2809755, 3281131, 2551793, 2324775, 3436863, 1878230, 2705802
185, 3790990, 2804715, 2609386, 2879957, 2163108, 3067241, 2723640, 4263603, 2781203, 1925125, 3520380, 3310661, 2754894, 2805534, 1922125, 4325014, 3816971, 3013451, 3423513
190, 2721306, 2553228, 3316745, 3361585, 2735654, 3195024, 2449249, 2056494, 2645418, 3823544, 2572211, 3594798, 3711547, 2891318, 3775243, 2675390, 3868989, 2941368, 3154048
195, 4117425, 3155090, 2598263, 3102260, 3451201, 4034852, 3734070, 3882943, 4512117, 4705223, 5880155, 3173930, 3433509, 4443445, 5604653, 8399425, 3778715, 3922943, 4489411
200, 5155649, 5750425, 5178221, 3603723, 3904383, 2930941, 2839506, 2762508, 4313870, 5356728, 4887429, 3813861, 5709648, 3263756, 5902500, 3928578, 4622618, 3533848, 2581836
205, 3091116, 3244688, 3276791, 3482204, 3187093, 2936845, 3880067, 3870991, 2974756, 3410177, 4089490, 3246728, 3931613, 4397137, 4610624, 3233565, 4553790, 5464839, 2799532
210, 3093895, 3011296, 4023619, 4926059, 3211167, 4305810, 2983776, 4652726, 5918760, 6763731, 4250755, 5756082, 4285232, 4540283, 5054054, 3385759, 5819316, 4577277, 5290670
215, 3537027, 4651099, 3481845, 3206917, 3563411, 3940392, 4628577, 5360024, 4459611, 4524171, 4595569, 2963819, 4337428, 3464548, 2612632, 3524136, 3120051, 3752128, 2982519
220, 2747569, 3741493, 4015579, 4477058, 3045047, 2974199, 3453812, 3295525, 3205053, 3443005, 4169247, 3223077, 3318758, 3257874, 3921183, 3340792, 3322195, 3631215, 3856773
225, 2567201, 4001099, 3387217, 3375516, 3424984, 3980273, 2333538, 3509912, 3560001, 3118501, 3329049, 3501516, 3335070, 3085895, 3340327, 3131842, 3375823, 4180533, 3342265
230, 3112364, 4526426, 3929045, 3181634, 3887237, 4058505, 2761865, 3628965, 3378213, 4002612, 3603575, 4225053, 3370290, 3540631, 2833404, 3468475, 3499864, 3679080, 2590438
235, 2975497, 4165238, 3368657, 3802990, 3561395, 3867538, 4072774, 2798508, 4072703, 2903134, 4195725, 2839347, 3828923, 5240531, 3978269, 4258352, 4031348, 3714424, 3693588
240, 3231706, 3641586, 4221672, 3093668, 2897147, 2380327, 3739369, 5132899, 2875807, 3905791, 4238087, 3650423, 4682526, 3775099, 5194405, 3843873, 3749943, 4107503, 4516735
245, 3498599, 3842929, 4030889, 4892812, 4681738, 4384042, 5292592, 4176505, 5534831, 4636245, 4641607, 4429193, 4122656, 4764892, 4929147, 3383647, 4393018, 4136593, 3477407
250, 3490913, 4791459, 3297519, 3863007, 4134192, 3939426, 3246810, 4172357, 3636777, 4000446, 3714720, 4073403, 3852538, 4095441, 3616649, 4588399, 3332688, 3835742, 5476185
255, 3598190, 4438776, 4993592, 3891078, 3023172, 3572656, 3694303, 4190768, 3859748, 3787639, 3980464, 3364537, 3060576, 3730676, 4073146, 4920815, 3624105, 3246593, 3825972
260, 4928818, 4047257, 3855590, 4605536, 3809895, 4225908, 4426364, 3909400, 4649028, 3572367, 3275549, 5174155, 4715056, 4720853, 2899348, 5375320, 4587670, 4018244, 4085209
265, 5425973, 5066652, 4258332, 3977828, 6167828, 3622863, 4606905, 4502929, 5483290, 5743541, 4462489, 4352972, 3300595, 4044292, 4062725, 4402407, 4271392, 4672593, 4687281
270, 4624626, 4386696, 5634198, 4488626, 4460384, 4215859, 5150640, 4141204, 4333796, 4388031, 4362620, 3744500, 5588873, 5949126, 4033316, 4745711, 4240387, 2923923, 3891773
