cmapSize, cmapNo, bufferSize, decayFactor, rebuildThreshold, ed, mem
10, 2, 10, 0.2, 0.01, 0.07775629917885593, 1992
10, 2, 10, 0.2, 0.09, 0.07620867774981001, 1992
10, 2, 10, 0.2, 0.3, 0.09724093449692665, 1992
10, 2, 10, 0.2, 0.5, 0.18776481106393428, 1992
10, 2, 10, 0.2, 0.7, 0.5318486757078366, 1992
10, 2, 10, 0.5, 0.01, 0.07412554728447586, 1992
10, 2, 10, 0.5, 0.09, 0.07194864894139737, 1992
10, 2, 10, 0.5, 0.3, 0.0969837709994179, 1992
10, 2, 10, 0.5, 0.5, 0.16361210929855152, 1992
10, 2, 10, 0.5, 0.7, 0.4969754949072427, 1992
10, 2, 10, 1.0, 0.01, 0.06374939018316894, 1992
10, 2, 10, 1.0, 0.09, 0.06015388955307842, 1992
10, 2, 10, 1.0, 0.3, 0.08076258164994517, 1992
10, 2, 10, 1.0, 0.5, 0.14719653021977688, 1992
10, 2, 10, 1.0, 0.7, 0.32908009433768437, 1992
10, 2, 10, 2.0, 0.01, 0.06325188663433982, 1992
10, 2, 10, 2.0, 0.09, 0.0619991782147634, 1992
10, 2, 10, 2.0, 0.3, 0.06270655853851544, 1992
10, 2, 10, 2.0, 0.5, 0.127368494863131, 1992
10, 2, 10, 2.0, 0.7, 0.2805577680114535, 1992
10, 2, 10, 2.5, 0.01, 0.06555608823042341, 1992
10, 2, 10, 2.5, 0.09, 0.06523681392283955, 1992
10, 2, 10, 2.5, 0.3, 0.05970190898756617, 1992
10, 2, 10, 2.5, 0.5, 0.11670861242047532, 1992
10, 2, 10, 2.5, 0.7, 0.2470798094241688, 1992
10, 2, 30, 0.2, 0.01, 0.0708658586598804, 1992
10, 2, 30, 0.2, 0.09, 0.06759801616625775, 1992
10, 2, 30, 0.2, 0.3, 0.16952354590358076, 1992
10, 2, 30, 0.2, 0.5, 0.2376038229192985, 1992
10, 2, 30, 0.2, 0.7, 0.5883604719051392, 1992
10, 2, 30, 0.5, 0.01, 0.06513008432648196, 1992
10, 2, 30, 0.5, 0.09, 0.060127143353237454, 1992
10, 2, 30, 0.5, 0.3, 0.18314873365324782, 1992
10, 2, 30, 0.5, 0.5, 0.22300858890095168, 1992
10, 2, 30, 0.5, 0.7, 0.5825222746937, 1992
10, 2, 30, 1.0, 0.01, 0.05548003238016597, 1992
10, 2, 30, 1.0, 0.09, 0.05369632808517703, 1992
10, 2, 30, 1.0, 0.3, 0.14301102378094385, 1992
10, 2, 30, 1.0, 0.5, 0.1974162790198283, 1992
10, 2, 30, 1.0, 0.7, 0.5546000783473343, 1992
10, 2, 30, 2.0, 0.01, 0.053322708711015285, 1992
10, 2, 30, 2.0, 0.09, 0.052712887756171486, 1992
10, 2, 30, 2.0, 0.3, 0.11244388652212349, 1992
10, 2, 30, 2.0, 0.5, 0.15908254028691687, 1992
10, 2, 30, 2.0, 0.7, 0.5060268816343663, 1992
10, 2, 30, 2.5, 0.01, 0.054328734816951066, 1992
