cmapSize, cmapNo, bufferSize, decayFactor, rebuildThreshold, ed, mem
10, 2, 10, 0.2, 0.01, 0.08613484976384872, 1992
10, 2, 10, 0.2, 0.09, 0.08220063751686629, 1992
10, 2, 10, 0.2, 0.3, 0.06933793511154633, 1992
10, 2, 10, 0.2, 0.5, 0.2713090209258545, 1992
10, 2, 10, 0.2, 0.7, 0.2713090209258545, 1992
10, 2, 10, 0.5, 0.01, 0.07841515577395142, 1992
10, 2, 10, 0.5, 0.09, 0.07731638842559617, 1992
10, 2, 10, 0.5, 0.3, 0.06541773569054546, 1992
10, 2, 10, 0.5, 0.5, 0.2713090209258545, 1992
10, 2, 10, 0.5, 0.7, 0.2713090209258545, 1992
10, 2, 10, 1.0, 0.01, 0.06836050903172435, 1992
10, 2, 10, 1.0, 0.09, 0.06708160914778731, 1992
10, 2, 10, 1.0, 0.3, 0.08832431177413094, 1992
10, 2, 10, 1.0, 0.5, 0.2713090209258545, 1992
10, 2, 10, 1.0, 0.7, 0.2713090209258545, 1992
10, 2, 10, 2.0, 0.01, 0.0636280207077424, 1992
10, 2, 10, 2.0, 0.09, 0.06406027741767246, 1992
10, 2, 10, 2.0, 0.3, 0.059104189009783176, 1992
10, 2, 10, 2.0, 0.5, 0.2713090209258545, 1992
10, 2, 10, 2.0, 0.7, 0.2713090209258545, 1992
10, 2, 10, 2.5, 0.01, 0.06558304222158588, 1992
10, 2, 10, 2.5, 0.09, 0.06520626178417276, 1992
10, 2, 10, 2.5, 0.3, 0.05628092982522274, 1992
10, 2, 10, 2.5, 0.5, 0.2713090209258545, 1992
10, 2, 10, 2.5, 0.7, 0.2713090209258545, 1992
10, 2, 30, 0.2, 0.01, 0.07264574303770963, 1992
10, 2, 30, 0.2, 0.09, 0.07214346520390157, 1992
10, 2, 30, 0.2, 0.3, 0.01456721770971122, 1992
10, 2, 30, 0.2, 0.5, 0.2713090209258545, 1992
10, 2, 30, 0.2, 0.7, 0.2713090209258545, 1992
10, 2, 30, 0.5, 0.01, 0.06721202485984128, 1992
10, 2, 30, 0.5, 0.09, 0.06233250746999866, 1992
10, 2, 30, 0.5, 0.3, 0.013634381069001307, 1992
10, 2, 30, 0.5, 0.5, 0.2713090209258545, 1992
10, 2, 30, 0.5, 0.7, 0.2713090209258545, 1992
10, 2, 30, 1.0, 0.01, 0.055081033630786674, 1992
10, 2, 30, 1.0, 0.09, 0.0527559504386779, 1992
10, 2, 30, 1.0, 0.3, 0.012998523530216539, 1992
10, 2, 30, 1.0, 0.5, 0.2713090209258545, 1992
10, 2, 30, 1.0, 0.7, 0.2713090209258545, 1992
10, 2, 30, 2.0, 0.01, 0.04449531966257062, 1992
10, 2, 30, 2.0, 0.09, 0.0445495364925754, 1992
10, 2, 30, 2.0, 0.3, 0.012297832275596464, 1992
10, 2, 30, 2.0, 0.5, 0.2713090209258545, 1992
10, 2, 30, 2.0, 0.7, 0.2713090209258545, 1992
10, 2, 30, 2.5, 0.01, 0.04471276190924985, 1992
10, 2, 30, 2.5, 0.09, 0.04497138913078022, 1992
10, 2, 30, 2.5, 0.3, 0.012107918754592975, 1992
10, 2, 30, 2.5, 0.5, 0.2713090209258545, 1992
10, 2, 30, 2.5, 0.7, 0.2713090209258545, 1992
10, 2, 70, 0.2, 0.01, 0.034553250575263296, 1992
10, 2, 70, 0.2, 0.09, 0.033621756131450825, 1992
10, 2, 70, 0.2, 0.3, 0.013986067008242158, 1992
